0.0003;0.0924
0.1021;0.0924
0.0756;0.0824
0.0004;0.0924
0.1686;0.092
0.0936;0.0817
0.0055;0.092
0.0003;0.0817
0.0003;0.092
0.0771;0.0817
0.0005;0.092
0.0004;0.0817
0.0003;0.0817
0.001;0.092
0.0267;0.0817
0.0555;0.092
0.0003;0.0817
0.0869;0.092
0.2357;0.092
0.1759;0.0817
0.0309;0.0817
0.0003;0.092
0.0004;0.0817
0.0008;0.092
0.0002;0.0817
0.1882;0.092
0.0004;0.0817
0.0003;0.092
0.0004;0.0817
0.0009;0.092
0.0006;0.092
0.0006;0.0817
0.0003;0.092
0.0004;0.0817
0.003;0.0817
0.0003;0.092
0.0004;0.0817
0.0003;0.0817
0.0006;0.092
0.0031;0.092
0.001;0.0817
0.0652;0.092
0.0012;0.0817
0.0003;0.0817
0.0318;0.0817
0.0004;0.092
0.0156;0.092
0.0054;0.092
0.0004;0.0817
0.0003;0.092
0.0022;0.0817
0.0003;0.092
0.0007;0.0817
0.0325;0.092
0.0003;0.0817
0.0005;0.0817
0.0005;0.092
0.1327;0.0817
0.0009;0.092
0.0208;0.0817
0.2497;0.092
0.0006;0.092
0.0006;0.0817
0.001;0.0817
0.0004;0.092
0.0004;0.0817
